STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,iccs,International classification of crime for statistical purposes (ICCS),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0401,Robbery,NR,Number,DE,Germany,2016,,43009,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0401,Robbery,NR,Number,DE,Germany,2017,,38849,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0401,Robbery,NR,Number,DE,Germany,2018,,36756,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0401,Robbery,NR,Number,DE,Germany,2019,,36052,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0401,Robbery,NR,Number,DE,Germany,2020,,33872,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0401,Robbery,NR,Number,DE,Germany,2021,,30125,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0401,Robbery,NR,Number,DE,Germany,2022,,38195,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2008,,390367,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2009,,386647,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2010,,397341,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2011,,421243,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2012,,430211,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2013,,437520,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2014,,446073,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2015,,463929,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2016,,432730,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2017,,365182,,,
